"ID","City","Type","Make","Model","Year","Color","Trim","CreatedAt","Days","Trips","T/D","$day","Busy30","Gross30","Gross365","Plan","Favs","Reviews","StarHost","URL","Features","Avg Market $*","Depreciation Y1*","Insurance Y*","Maintenance Y*","Avg Repairs Y*"
"1836949","Montréal, QC","TRUCK","Ford","F-150","2021","","XLT","12/27/2022","234","1","0.00","200","0","0","331","Turo Standard","7","1","false","https://turo.com/ca/en/truck-rental/canada/montreal-qc/ford/f-150/1836949","All-wheel drive, Android Auto, Apple CarPlay, Backup camera, Bike rack, Blind spot warning, Bluetooth, Child seat, GPS, Snow tires or chains, USB charger, USB input","42955","4339","2316","1261","577"
"2177628","Pointe-claire, QC","TRUCK","Ford","F-150","2013","BLUE","XLT","8/16/2023","2","0","0.00","94","0","0","0","Turo Standard","2","0","false","https://turo.com/ca/en/truck-rental/canada/pointe-claire-qc/ford/f-150/2177628","","13852","2347","1869","1703","1033"
"1337441","Montréal, QC","CAR","Ford","Fiesta","2014","","SE","1/23/2022","572","131","0.23","104","16","1625","12959","Turo Standard","98","83","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/ford/fiesta/1337441","AUX input, Bluetooth, Long-term car, USB charger","8076","1387","1769","1456","1033"
"2169905","Montréal, QC","CAR","Ford","Fiesta","2019","","SE","8/11/2023","7","0","0.00","103","0","0","0","Turo Standard","1","0","true","https://turo.com/ca/en/car-rental/canada/montreal-qc/ford/fiesta/2169905","Android Auto, Apple CarPlay, AUX input, Backup camera, Bluetooth, Heated seats, USB charger, USB input","13964","1719","2016","1102","649"
"1818064","Montréal, QC","CAR","Honda","Fit","2015","","LX","12/10/2022","251","0","0.00","98","13","694","4944","Turo Standard","2","0","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/honda/fit/1818064","Backup camera, Bluetooth, Child seat, Heated seats, Snow tires or chains, USB charger, USB input","12439","1704","1859","1512","1030"
"1974699","Boisbriand, QC","CAR","Kia","Forte","2020","","","4/5/2023","135","2","0.01","111","0","0","275","Turo Standard","11","2","false","https://turo.com/ca/en/car-rental/canada/boisbriand-qc/kia/forte/1974699","Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Long-term car, Snow tires or chains, USB charger","19577","1978","2100","1048","560"
"1586745","Longueuil, QC","CAR","smart","fortwo","2013","WHITE","","7/8/2022","406","30","0.07","74","20","1350","6802","Turo Standard","41","24","true","https://turo.com/ca/en/car-rental/canada/longueuil-qc/smart/fortwo/1586745","AUX input, Heated seats, Long-term car, Pet friendly, Snow tires or chains, USB charger, USB input","7635","1321","1723","1459","1033"
"2117487","Mascouche, QC","CAR","Scion","FR-S","2013","","Man","7/9/2023","40","0","0.00","127","0","0","0","Turo Standard","13","0","false","https://turo.com/ca/en/car-rental/canada/mascouche-qc/scion/fr-s/2117487","AUX input, Bluetooth, USB charger, USB input","14564","2032","1838","1651","1033"
"1397794","Montréal, QC","CAR","Ford","Fusion","2010","RED","S","3/16/2022","520","95","0.18","67","21","884","7750","Turo Standard","110","63","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/ford/fusion/1397794","AUX input, Bluetooth, Long-term car, USB charger","6351","1233","1619","1500","1033"
"2152132","Montréal, QC","CAR","Genesis","G70","2022","","2.0T Advanced","7/31/2023","18","0","0.00","130","0","0","0","Turo Standard","7","0","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/genesis/g70/2152132","All-wheel drive, Android Auto, Apple CarPlay, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Pet friendly, Sunroof, USB charger, USB input","31815","3420","2349","953","338"
"2175637","Montréal, QC","CAR","Maserati","Ghibli","2022","","","8/15/2023","3","0","0.00","200","2","549","549","Turo Standard","7","0","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/maserati/ghibli/2175637","All-wheel drive, Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, Convertible, GPS, Heated seats, Keyless entry, Toll pass, USB charger, USB input","24362","2924","2010","1690","1033"
"1660446","ST JEAN SUR RECHELIEU, QC","SUV","Mercedes-Benz","GLA-Class","2016","WHITE","GLA 250","8/18/2022","365","6","0.02","134","22","2332","5802","Turo Standard","49","4","false","https://turo.com/ca/en/suv-rental/canada/st-jean-sur-rechelieu-qc/mercedes-benz/gla-class/1660446","All-wheel drive, Android Auto, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Snow tires or chains, Sunroof, USB charger, USB input","19085","2514","1980","1626","1033"
"1875579","Laval, QC","TRUCK","Jeep","Gladiator","2022","","Rubicon","1/23/2023","207","12","0.06","142","18","2231","9307","Turo Standard","91","11","true","https://turo.com/ca/en/truck-rental/canada/laval-qc/jeep/gladiator/1875579","","50834","4912","2417","1114","409"
"2053777","Montreal, QC","SUV","Mercedes-Benz","GLB-Class","2022","WHITE","GLB 250","5/30/2023","81","0","0.00","450","0","0","3058","Turo Standard","4","0","false","https://turo.com/ca/en/suv-rental/canada/montreal-qc/mercedes-benz/glb-class/2053777","All-wheel drive, Android Auto, Apple CarPlay, Backup camera, Blind spot warning, Bluetooth, Child seat, Heated seats, Keyless entry, Long-term car, Snow tires or chains, Sunroof, USB charger, USB input","41009","3930","1451","2164","1033"
"2177806","Laval, QC","SUV","Mercedes-Benz","GLC-Class","2017","","GLC 300","8/16/2023","2","0","0.00","120","0","0","0","Turo Standard","2","0","false","https://turo.com/ca/en/suv-rental/canada/laval-qc/mercedes-benz/glc-class/2177806","All-wheel drive, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Snow tires or chains, Sunroof, USB charger, USB input","23981","2853","2042","1586","973"
"2178804","Laval, QC","SUV","Mercedes-Benz","GLC-Class","2018","","GLC 300","8/17/2023","1","0","0.00","150","0","0","0","Turo Standard","0","0","false","https://turo.com/ca/en/suv-rental/canada/laval-qc/mercedes-benz/glc-class/2178804","All-wheel drive, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Sunroof, USB charger, USB input","26181","3052","2095","1510","887"
"1785017","Laval, QC","SUV","Mercedes-Benz","GLC-Class","2019","","GLC 300","11/14/2022","277","0","0.00","278","0","0","766","Turo Standard","32","0","false","https://turo.com/ca/en/suv-rental/canada/laval-qc/mercedes-benz/glc-class/1785017","Long-term car","29899","3252","2152","1421","791"
"2013557","Laval, QC","SUV","Mercedes-Benz","GLC-Class","2023","","AMG GLC 43","5/3/2023","107","2","0.02","550","20","11000","11000","Turo Standard","14","1","false","https://turo.com/ca/en/suv-rental/canada/laval-qc/mercedes-benz/glc-class/2013557","Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Snow tires or chains, Sunroof, USB charger, USB input","74797","","","",""
"2142660","Montréal, QC","SUV","Mercedes-Benz","GLE-Class","2022","","","7/25/2023","24","0","0.00","690","0","0","0","Turo Standard","1","0","false","https://turo.com/ca/en/suv-rental/canada/montreal-qc/mercedes-benz/gle-class/2142660","Long-term car","115980","5503","2580","1497","579"
"2064225","Côte Saint-Luc, QC","SUV","Mercedes-Benz","GLE-Class","2018","BLACK","AMG GLE 43","6/5/2023","74","6","0.08","300","0","0","650","Turo Standard","97","4","false","https://turo.com/ca/en/suv-rental/canada/cote-saint-luc-qc/mercedes-benz/gle-class/2064225","All-wheel drive, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Long-term car, Sunroof, USB charger, USB input","45381","5116","2193","1741","990"
"1634103","Sainte-Thérèse, QC","SUV","Mercedes-Benz","GLE-Class","2018","WHITE","GLE 400","8/3/2022","380","17","0.04","156","28","3760","13483","Turo Standard","145","16","true","https://turo.com/ca/en/suv-rental/canada/sainte-therese-qc/mercedes-benz/gle-class/1634103","All-wheel drive, Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Long-term car, Snow tires or chains, Sunroof, USB charger, USB input","38992","4376","2163","1671","959"
"2093718","Laval, QC","SUV","Mercedes-Benz","GLE-Class","2018","","GLE 400","6/24/2023","55","0","0.00","160","2","322","2857","Turo Standard","14","0","false","https://turo.com/ca/en/suv-rental/canada/laval-qc/mercedes-benz/gle-class/2093718","All-wheel drive, Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, Child seat, GPS, Heated seats, Keyless entry, Sunroof, USB charger, USB input","38992","4376","2163","1671","959"
"2037910","Montreal, QC","CAR","Volkswagen","Golf","2018","BLACK","","5/19/2023","91","2","0.02","106","2","230","727","Turo Standard","9","2","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/volkswagen/golf/2037910","Apple CarPlay, AUX input, Backup camera, Bluetooth, Heated seats, USB charger","17992","1949","2002","1291","790"
